Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Media
15019889559,"Jul 5, 2025, 11:39:43 PM",Soto Run,Run,"",2282,5.00,,,false,,,activities/15019889559.gpx,,,2282.0,2117.0,5005.8,17.287,2.365,15.2,28.0,19.0,32.4,18.6,-0.2,,,90.0,79.0,,,,,372.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5043.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.194,0.0,,,,5690.0,,,,,2.382,,,,,,,,,,media/d307cf64-a00e-4fae-9dbd-07557da7177f.jpg|media/88454330-c467-4fdd-923c-af96bcbd19e2.jpg
15067588289,"Jul 10, 2025, 10:52:59 AM",Malem jumat run,Run,"",3959,5.11,,,false,,,activities/15067588289.gpx,,,3959.0,2383.0,5115.9,6.24,2.147,14.5,25.8,7.4,36.8,40.4,-0.2,,,89.0,78.0,,,,,388.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5264.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.292,0.0,,,,6854.0,,,,,2.209,,,,,,,,,,media/b8ee18e3-37f7-438b-b153-4d0f9cf5069d.jpg
15083801239,"Jul 11, 2025, 11:12:15 PM",Betis meledak,Run,"",3397,6.35,,,false,,,activities/15083801239.gpx,,,3397.0,3138.0,6356.3,8.23,2.026,10.0,25.9,13.2,32.5,13.0,-0.2,,,91.0,76.0,,,,,469.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,6362.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.871,0.0,,,,7986.0,,,,,2.028,,,,,,,,,,media/18474f84-da4b-412b-bc5a-694a6a381ba6.jpg
15251513812,"Jul 27, 2025, 9:44:50 AM",Comeback run,Run,Harusnya jarak 7km njir,4248,6.08,,,false,,,activities/15251513812.gpx,,,4248.0,3076.0,6087.0,14.58,1.979,31.0,29.0,8.1,28.7,28.2,0.0,,,89.0,75.0,,,,,462.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,6272.1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.433,0.0,,,,8256.0,0.0,,,,2.039,,,,,,,,,,media/0a758e8f-36c6-40ed-800b-3ebc99a6075c.jpg
15309664237,"Aug 1, 2025, 11:04:36 AM",Pemanasan run,Run,Run 2025-08-01 18:04:36,2290,5.14,174.0,55,false,,,activities/16349478770.fit.gz,,,2290.0,2290.0,5140.0,0.0,2.245,0.0,0.0,0.0,0.0,0.0,0.0,,,90.0,76.0,174.0,155.0,,,297.0,,,55.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.245,0.0,,,,,0.0,,,,,,,,,,,,,,media/76e7e062-57ae-4cd4-9241-e701fc56b3c1.jpg
15324747030,"Aug 2, 2025, 10:58:32 PM",Green run,Run,"",5118,10.41,,,false,,,activities/15324747030.gpx,,,5118.0,5082.0,10413.6,3.82,2.049,15.8,15.2,14.1,24.4,6.7,0.0,,,113.0,78.0,,,,,769.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,10433.3,,,,,,,,,,,,,,,,,,,,,,,,,,,2.035,26.7,,,,13020.0,0.0,,,,2.053,,,,,,,,,,media/84c7cfca-d786-477f-bebe-269943704639.jpg
15552241139,"Aug 22, 2025, 11:42:55 PM",Panasan run,Run,"",2859,5.02,,,false,,,activities/15552241139.gpx,,,2859.0,2357.0,5025.6,4.8,2.132,0.0,14.7,17.7,32.5,6.8,-0.3,,,,,,,,,369.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5008.2,,,,,,,,,,,,,,,,,,,,,,,,,,,1.758,0.0,,,,,0.0,,,,2.125,,,0.0,,,,,,,media/c244ee31-5c51-4a02-ab13-992ac5f22186.jpg
15715028170,"Sep 6, 2025, 9:48:59 AM",Karang Birahi Run,Run,"",2727,4.90,,,false,,,activities/15715028170.gpx,,,2727.0,2409.0,4906.2,4.62,2.037,84.6,88.7,-0.2,10.2,17.4,0.0,,,,,,,,,392.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5321.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.799,0.0,,,,,0.0,,,,2.209,,,,,,,,,,media/8c09d146-bf10-4253-97e7-9b2054cea0d4.jpg
15802637740,"Sep 13, 2025, 11:19:49 PM",Mata merah run,Run,"",2300,5.02,,,false,,,activities/15802637740.gpx,,,2300.0,2194.0,5023.6,17.453,2.29,10.0,24.2,18.0,33.7,20.8,-0.3,,,93.0,80.0,,,,,372.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5050.2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.184,0.0,,,,5926.0,0.0,,,,2.302,,,,,,,,,,media/631a517c-fb22-41ba-a012-f7b3b69ec624.jpg
15881978512,"Sep 20, 2025, 11:26:35 PM",Panasan run,Run,"",2551,5.16,,,false,,,activities/15881978512.gpx,,,2551.0,2231.0,5166.1,12.3,2.316,11.5,16.6,20.8,32.4,20.4,-0.1,,,98.0,79.0,,,,,382.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5179.1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.025,0.0,,,,5968.0,0.0,,,,2.321,,,0.0,,,,,,,media/3422753b-0c4e-4c55-af93-56db4bec3c00.jpg
15958462075,"Sep 27, 2025, 10:45:22 PM",Taman literasi run,Run,"",2450,5.02,,,false,,,activities/15958462075.gpx,,,2450.0,2190.0,5026.0,8.68,2.295,12.8,19.1,20.7,33.6,19.0,-0.1,,,94.0,83.0,,,,,375.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5082.6,,,,,,,,,,,,,,,,,,,,,,,,,,,2.051,0.0,,,,6264.0,0.0,,,,2.321,,,0.0,,,,,,,media/9e88ce47-8624-4927-b4ea-d4b4b182d49e.jpg
16189840432,"Oct 19, 2025, 10:06:47 AM",Maghriban run,Run,"",3177,4.91,,,false,,,activities/16189840432.gpx,,,3177.0,2347.0,4918.0,4.9,2.095,8.5,10.2,16.6,26.1,34.3,0.0,,,,,,,,,366.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,4962.2,,,,,,,,,,,,,,,,,,,,,,,,,,,1.548,0.0,,,,,0.0,,,,2.114,,,,,,,,,,media/9ebcc286-0daa-4ec1-a798-4eb61862d2ab.jpg
16399188393,"Nov 8, 2025, 11:28:35 PM",Sedikit kesiangan run,Run,"",3332,5.52,,,false,,,activities/16399188393.gpx,,,3332.0,2108.0,5526.7,15.512,2.622,58.0,74.7,2.9,44.1,48.3,-0.2,,,,,,,,,432.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5865.1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.659,0.0,,,,,0.0,,,,2.782,,,,,,,,,,media/4965f178-3a4b-49af-a57d-0370e43787b0.jpg
16469877609,"Nov 15, 2025, 10:37:09 PM",Arah Blok S Run,Run,"",2727,5.07,,,false,,,activities/16469877609.gpx,,,2727.0,1837.0,5074.3,13.98,2.762,9.0,16.6,21.2,32.2,11.8,-0.2,,,,,,,,,374.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5079.1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.861,130.6,,,,,0.0,,,,2.765,,,0.0,,,,,,,media/68981a3a-f106-44b0-9d39-c8473f6433dc.jpg|media/31ccdc1b-387f-438b-9829-05de965dc93a.jpg
16616271232,"Dec 1, 2025, 5:25:15 AM",UNY Swim,Swim,Siang siang mendung ,1308,400,153.0,28,false,,,activities/17704814392.fit.gz,,,1308.0,2610.0,400.0,1.9,0.153,0.0,0.0,0.0,0.0,0.0,0.0,,,,,153.0,129.0,,,98.0,,,28.0,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.306,0.0,,,,,0.0,,,,,,,0.0,,,,,,,media/e5bc6d53-ba7c-431d-89e4-70cb9b0f9b4e.jpg
16869585542,"Dec 28, 2025, 10:36:27 PM",Sigempol Run,Run,"",5488,5.26,,,false,,,activities/16869585542.gpx,,,5488.0,2327.0,5262.6,4.18,2.262,0.0,0.0,5.4,7.1,3.6,0.0,,,,,,,,,388.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.959,0.0,,,,,0.0,,,,2.263,,,,,,,,,,media/c574f4d3-8751-4a68-9882-06c8c535c2d8.jpg
17311878922,"Feb 6, 2026, 11:41:36 PM",Setelah absen,Run,"",5806,5.04,,,false,,,activities/17311878922.gpx,,,5806.0,2422.0,5043.5,6.1,2.082,3.2,15.8,16.8,32.7,2.6,-0.2,,,,,,,,,371.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5037.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.869,0.0,,,,,0.0,,,,2.08,,,,,,,,,,media/f574b739-99c3-4f1b-935f-5f9b0ae4cbe2.jpg
